batch_size,loss,iteration_time_ms,backward_only_time_ms,peak_memory_allocated_mb,peak_memory_reserved_mb,num_forward_ops,num_backward_ops,num_activations,total_activation_mb,parameter_memory_mb,gradient_memory_mb,avg_forward_op_ms,avg_backward_op_ms
1,6.6473588943481445,751.1669000089169,316.4312999844551,708.22412109375,760.0,464,464,464,253.14639282226562,229.61734008789062,229.61734008789062,0.46024892267225115,335.6194142245142
2,7.432004928588867,646.3737000226974,250.11790004372597,736.56005859375,800.0,464,464,464,506.29278564453125,229.61734008789062,229.61734008789062,0.17075366212119317,258.14151012942455
4,7.037240028381348,548.6295999884605,262.8310000002384,992.86474609375,1112.0,464,464,464,1012.5855712890625,229.61734008789062,229.61734008789062,0.18419849127531052,268.85262241304434
6,6.786975383758545,589.0373000204563,284.295500010252,1354.11376953125,1584.0,464,464,464,1518.8783569335938,229.61734008789062,229.61734008789062,0.21527370714165014,292.5660969825654
8,6.973171234130859,677.5604000091553,303.00070002675056,1673.14501953125,2028.0,464,464,464,2025.171142578125,229.61734008789062,229.61734008789062,0.2151107764963446,289.8384148696245
12,7.3362884521484375,685.5310999751091,337.0330999791622,2355.22265625,2788.0,464,464,464,3037.7567138671875,229.61734008789062,229.61734008789062,0.29899202531267854,321.4346398706708
16,6.950722694396973,794.9009000062943,428.7029999792576,3018.80078125,3572.0,464,464,464,4050.34228515625,229.61734008789062,229.61734008789062,0.3544543100328281,379.53904202458415
