batch_size,seq_len,loss,iteration_time_ms,backward_only_time_ms,peak_memory_allocated_mb,peak_memory_reserved_mb,num_forward_ops,num_backward_ops,num_activations,total_activation_mb,parameter_memory_mb,gradient_memory_mb,avg_forward_op_ms,avg_backward_op_ms
1,512,0.6965855360031128,406.1651000082493,126.24749997258186,2114.1611328125,2302.0,141,141,141,313.50879669189453,417.64746856689453,417.64746856689453,0.75938155824411,140.53877588620423
2,512,0.6217413544654846,298.34510001540184,140.5121000111103,2127.5478515625,2318.0,141,141,141,625.5175933837891,417.64746856689453,417.64746856689453,0.31734964547427835,127.58734964711446
4,512,0.7021351456642151,405.91639998555183,203.6046000123024,2116.5712890625,2900.0,141,141,141,1249.5351867675781,417.64746856689453,417.64746856689453,0.5639432639094955,182.39397872593386
6,512,0.6802065968513489,520.5706999897957,296.6414999961853,2303.45166015625,3296.0,141,141,141,1873.5527801513672,417.64746856689453,417.64746856689453,0.6884879436053283,240.6815978707151
8,512,0.6829134225845337,801.1231000125408,384.28940001130104,2916.72509765625,4160.0,141,141,141,2497.5703735351562,417.64746856689453,417.64746856689453,1.488293615638787,361.8069170201924
12,512,0.7118628621101379,949.1667999923229,552.1542000174522,4141.77197265625,5456.0,141,141,141,3745.6055603027344,417.64746856689453,417.64746856689453,1.7245822677798306,454.7295156055731
16,512,0.7819560766220093,1242.7510000169277,706.1757000088692,5367.31884765625,7856.0,141,141,141,4993.6407470703125,417.64746856689453,417.64746856689453,2.6157787241411548,621.1387425513133
